name,date,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb, trb,ast,stl,blk,tov,pf,pts,plus_minus,result,score,opp,opp_score,pts_team,team
"Durant,Kevin",20190126,39:01,10,23,0.435,1,4,0.25,12,13,0.9229999999999999,0,9,0,3,0,2,4,3,33,12,1,115,BOS,111,,GSW
"Curry,Stephen",20190126,38:04,7,15,0.467,6,12,0.5,4,4,1.0,0,3,0,3,0,0,1,2,24,4,1,115,BOS,111,,GSW
"Thompson,Klay",20190126,34:53,8,16,0.5,3,8,0.375,2,2,1.0,0,3,0,2,0,0,2,3,21,-12,1,115,BOS,111,,GSW
"Green,Draymond",20190126,34:09,1,3,0.33299999999999996,1,2,0.5,2,4,0.5,3,8,0,8,3,1,3,1,5,-9,1,115,BOS,111,,GSW
"Cousins,DeMarcus",20190126,23:16,4,9,0.444,1,2,0.5,6,7,0.857,1,7,0,3,3,1,3,5,15,-8,1,115,BOS,111,,GSW
"Iguodala,Andre",20190126,26:50,0,5,0.0,0,3,0.0,1,2,0.5,0,6,0,4,1,2,0,1,1,7,1,115,BOS,111,,GSW
"Looney,Kevon",20190126,20:13,3,5,0.6,0,1,0.0,2,2,1.0,3,3,0,1,0,1,0,2,8,13,1,115,BOS,111,,GSW
"Livingston,Shaun",20190126,14:50,4,6,0.667,0,0,0.0,0,0,0.0,3,1,0,1,1,0,0,2,8,2,1,115,BOS,111,,GSW
"Irving,Kyrie",20190126,39:53,12,27,0.444,4,10,0.4,4,4,1.0,3,3,0,10,2,0,4,4,32,0,0,111,GSW,115,,BOS
"Horford,Al",20190126,34:38,10,15,0.667,2,5,0.4,0,0,0.0,5,8,0,3,1,2,5,5,22,9,0,111,GSW,115,,BOS
"Tatum,Jayson",20190126,31:20,7,15,0.467,3,5,0.6,3,3,1.0,0,5,0,3,0,1,0,1,20,4,0,111,GSW,115,,BOS
"Smart,Marcus",20190126,28:48,4,11,0.364,2,7,0.28600000000000003,2,2,1.0,1,2,0,2,0,0,2,2,12,2,0,111,GSW,115,,BOS
"Morris,Marcus",20190126,28:45,3,12,0.25,2,6,0.33299999999999996,1,2,0.5,4,5,0,2,0,0,0,2,9,-2,0,111,GSW,115,,BOS
"Brown,Jaylen",20190126,22:29,3,8,0.375,2,5,0.4,2,2,1.0,1,1,0,0,0,0,1,4,10,-8,0,111,GSW,115,,BOS
"Hayward,Gordon",20190126,22:07,0,5,0.0,0,1,0.0,2,2,1.0,0,7,0,2,2,1,1,1,2,-8,0,111,GSW,115,,BOS
"Rozier,Terry",20190126,18:38,1,4,0.25,0,1,0.0,0,0,0.0,1,2,0,0,0,0,0,0,2,-4,0,111,GSW,115,,BOS
"Craig,Torrey",20190126,34:35,6,13,0.462,1,6,0.16699999999999998,2,2,1.0,2,4,0,1,1,0,3,3,15,12,1,126,PHI,110,,DEN
"Jokić,Nikola",20190126,33:44,12,22,0.545,2,3,0.667,6,7,0.857,6,12,0,10,1,0,1,1,32,16,1,126,PHI,110,,DEN
"Barton,Will",20190126,25:45,6,11,0.545,1,3,0.33299999999999996,3,6,0.5,0,4,0,1,0,0,0,2,16,12,1,126,PHI,110,,DEN
"Harris,Gary",20190126,24:30,4,10,0.4,1,4,0.25,0,0,0.0,0,1,0,3,1,2,2,3,9,20,1,126,PHI,110,,DEN
"Millsap,Paul",20190126,17:10,1,2,0.5,0,0,0.0,2,2,1.0,1,3,0,1,0,0,0,3,4,10,1,126,PHI,110,,DEN
"Morris,Monte",20190126,27:12,5,11,0.455,0,1,0.0,0,0,0.0,0,1,0,3,0,0,1,1,10,4,1,126,PHI,110,,DEN
"Plumlee,Mason",20190126,22:02,5,5,1.0,0,0,0.0,7,10,0.7,1,5,0,4,0,1,1,4,17,6,1,126,PHI,110,,DEN
"Beasley,Malik",20190126,20:18,6,12,0.5,2,5,0.4,0,0,0.0,0,1,0,1,1,0,1,2,14,2,1,126,PHI,110,,DEN
"Lyles,Trey",20190126,15:51,2,5,0.4,1,2,0.5,2,2,1.0,0,3,0,2,0,1,0,2,7,-4,1,126,PHI,110,,DEN
"Hernangómez,Juan",20190126,12:59,0,2,0.0,0,0,0.0,0,0,0.0,0,5,0,1,0,0,1,0,0,2,1,126,PHI,110,,DEN
"Simmons,Ben",20190126,35:12,6,17,0.353,0,1,0.0,7,10,0.7,1,11,0,4,0,0,3,3,19,-11,0,110,DEN,126,,PHI
"Brewer,Corey",20190126,32:02,7,15,0.467,1,4,0.25,5,6,0.833,2,4,0,2,4,0,1,4,20,-10,0,110,DEN,126,,PHI
