name,date,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb, trb,ast,stl,blk,tov,pf,pts,plus_minus,result,score,opp,opp_score,pts_team,team,ttfl,team_id_x,wins,losses,tot_game,team_id_y,mp_lw,fg_lw,fga_lw,fg_pct_lw,fg3_lw,fg3a_lw,fg3_pct_lw,ft_lw,fta_lw,ft_pct_lw,orb_lw,drb_lw, trb_lw,ast_lw,stl_lw,blk_lw,tov_lw,pf_lw,pts_lw,plus_minus_lw,score_lw,opp_score_lw
"Durant,Kevin",20190126,39,10,23,0.435,1,4,0.25,12,13,0.923,0,9,0,3,0,2,4,3,33,12,1,115,BOS,111,,GSW,40,0,35,14,49,0,39,10,23,0.435,1,4,0.25,12,13,0.923,0,9,0,3,0,2,4,3,33,12,115,111
"Curry,Stephen",20190126,38,7,15,0.467,6,12,0.5,4,4,1.0,0,3,0,3,0,0,1,2,24,4,1,115,BOS,111,,GSW,29,0,35,14,49,0,38,7,15,0.467,6,12,0.5,4,4,1.0,0,3,0,3,0,0,1,2,24,4,115,111
"Thompson,Klay",20190126,34,8,16,0.5,3,8,0.375,2,2,1.0,0,3,0,2,0,0,2,3,21,-12,1,115,BOS,111,,GSW,21,0,35,14,49,0,34,8,16,0.5,3,8,0.375,2,2,1.0,0,3,0,2,0,0,2,3,21,-12,115,111
"Green,Draymond",20190126,34,1,3,0.333,1,2,0.5,2,4,0.5,3,8,0,8,3,1,3,1,5,-9,1,115,BOS,111,,GSW,10,0,35,14,49,0,34,1,3,0.333,1,2,0.5,2,4,0.5,3,8,0,8,3,1,3,1,5,-9,115,111
"Cousins,DeMarcus",20190126,23,4,9,0.444,1,2,0.5,6,7,0.857,1,7,0,3,3,1,3,5,15,-8,1,115,BOS,111,,GSW,20,0,35,14,49,0,23,4,9,0.444,1,2,0.5,6,7,0.857,1,7,0,3,3,1,3,5,15,-8,115,111
"Iguodala,Andre",20190126,26,0,5,0.0,0,3,0.0,1,2,0.5,0,6,0,4,1,2,0,1,1,7,1,115,BOS,111,,GSW,-1,0,35,14,49,0,26,0,5,0.0,0,3,0.0,1,2,0.5,0,6,0,4,1,2,0,1,1,7,115,111
"Looney,Kevon",20190126,20,3,5,0.6,0,1,0.0,2,2,1.0,3,3,0,1,0,1,0,2,8,13,1,115,BOS,111,,GSW,12,0,35,14,49,0,20,3,5,0.6,0,1,0.0,2,2,1.0,3,3,0,1,0,1,0,2,8,13,115,111
"Livingston,Shaun",20190126,14,4,6,0.667,0,0,0.0,0,0,0.0,3,1,0,1,1,0,0,2,8,2,1,115,BOS,111,,GSW,11,0,35,14,49,0,14,4,6,0.667,0,0,0.0,0,0,0.0,3,1,0,1,1,0,0,2,8,2,115,111
"Irving,Kyrie",20190126,39,12,27,0.444,4,10,0.4,4,4,1.0,3,3,0,10,2,0,4,4,32,0,0,111,GSW,115,,BOS,37,1,30,19,49,1,39,12,27,0.444,4,10,0.4,4,4,1.0,3,3,0,10,2,0,4,4,32,0,111,115
"Horford,Al",20190126,34,10,15,0.667,2,5,0.4,0,0,0.0,5,8,0,3,1,2,5,5,22,9,0,111,GSW,115,,BOS,26,1,30,19,49,1,34,10,15,0.667,2,5,0.4,0,0,0.0,5,8,0,3,1,2,5,5,22,9,111,115
